Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Ticker,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2018,Sep 2018,Dec 2018,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2005,Dec 2006,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
EPS in Rs,19.54,1.96,5.08,4.53,16.54,13.60,18.90,9.17,13.14,8.44,9.32,-3.33,14.65,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,JINDALSTEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2272,2228,2436,2778,2763,2753,2935,3106,2808,2560,2930,3581,3353,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1866,1923,2189,2428,2355,2286,2310,2546,2321,2276,2438,2816,2665,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,406,305,247,350,408,467,625,560,486,284,492,765,688,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,18%,14%,10%,13%,15%,17%,21%,18%,17%,11%,17%,21%,21%,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,15,22,19,38,17,29,38,55,45,140,45,46,56,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,65,67,79,101,109,115,114,115,110,123,112,113,109,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,106,106,118,132,135,141,140,153,147,146,146,162,146,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,250,154,69,154,181,241,409,347,273,155,279,535,489,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,36%,28%,46%,31%,37%,27%,31%,37%,32%,12%,32%,32%,34%,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,161,111,37,107,113,176,284,220,185,136,190,361,324,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,21.06,14.54,5.05,14.17,14.84,22.69,36.73,28.44,23.98,16.28,24.54,46.64,41.99,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,JKCEMENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1820,1385,1201,1380,1708,1350,2190,1515,1755,1226,1140,1341,1583,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1192,1130,1191,1153,1186,939,1613,788,965,840,850,952,982,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,628,256,10,227,521,411,577,727,790,386,290,388,601,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,35%,18%,1%,16%,31%,30%,26%,48%,45%,32%,25%,29%,38%,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,9,116,5,-1,7,-70,-56,46,24,79,116,26,48,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,150,138,135,137,119,117,105,109,109,110,97,97,97,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,116,117,117,115,115,116,117,116,118,120,116,116,117,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,372,117,-238,-26,294,108,299,548,588,234,193,201,435,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,35%,36%,-8%,69%,35%,36%,42%,-7%,41%,22%,34%,23%,36%,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,242,75,-218,-44,192,69,173,589,349,183,127,156,278,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,0.35,0.11,-0.32,-0.06,0.28,0.10,0.25,0.86,0.51,0.27,0.18,0.23,0.41,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,JPPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,8119,8751,9062,9765,10184,9797,9127,9454,9430,9777,9907,10198,10207,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,7229,8066,8194,8621,8992,8566,7881,8419,8219,8590,8714,9165,8911,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,889,685,868,1144,1192,1231,1246,1035,1210,1186,1193,1033,1296,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,11%,8%,10%,12%,12%,13%,14%,11%,13%,12%,12%,10%,13%,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,50,35,74,78,76,140,52,53,51,47,99,87,69,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,79,87,76,83,100,156,146,153,143,159,161,150,144,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,179,182,181,181,188,222,236,233,232,241,242,241,252,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,682,450,685,957,981,993,917,702,886,834,890,729,969,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,23%,25%,25%,25%,23%,25%,29%,27%,27%,26%,19%,26%,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,508,347,513,716,738,764,691,501,646,609,654,590,715,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,9.48,6.72,9.47,9.30,9.06,9.40,8.41,6.08,7.87,7.42,7.95,7.17,8.67,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,JSL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,3026,2387,2248,2670,2928,3259,2543,2756,2879,3238,2439,3189,5143,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2004,1498,1623,1931,1706,1379,1432,1587,1462,1553,1525,1985,2355,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1022,890,625,739,1222,1880,1111,1169,1418,1685,914,1204,2789,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,34%,37%,28%,28%,42%,58%,44%,42%,49%,52%,37%,38%,54%,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,212,214,119,136,87,134,120,130,167,230,206,313,271,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,193,204,214,233,486,514,521,533,511,518,564,675,1306,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,289,294,295,291,398,409,400,427,375,392,406,482,739,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,753,605,235,351,426,1092,310,339,698,1005,150,361,1015,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,24%,20%,20%,32%,22%,25%,-2%,24%,13%,-5%,-15%,18%,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,555,457,187,282,290,857,232,345,534,877,157,415,836,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.41,2.83,1.09,1.65,1.76,5.17,1.41,2.14,2.99,4.88,0.96,2.33,4.25,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,JSWENERGY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,19,337,26,24,26,89,27,27,27,162,29,29,30,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1,2,1,1,3,3,3,3,3,4,3,4,4,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,18,335,25,23,23,86,25,24,24,158,26,26,26,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,93%,99%,95%,95%,89%,97%,90%,87%,88%,98%,89%,87%,88%,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,0,0,0,0,0,0,0,0,0,0,0,0,0,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,18,335,25,23,23,86,25,24,24,158,26,26,26,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,25%,25%,25%,26%,26%,26%,18%,25%,25%,25%,26%,25%,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,6,255,30,41,24,63,35,33,53,120,14,10,34,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,5.00,229.32,26.97,37.35,21.95,56.94,31.27,29.99,47.37,107.79,12.51,8.76,30.46,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,JSWHL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,38086,41778,39134,46962,42213,44584,41940,46269,42943,39684,41378,44819,43147,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,33794,40082,34643,39031,35201,36722,34776,40243,37445,34309,35799,38684,35671,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,4292,1696,4491,7931,7012,7862,7164,6026,5498,5375,5579,6135,7476,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,11%,4%,11%,17%,17%,18%,17%,13%,13%,14%,13%,14%,17%,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,189,779,188,465,331,826,194,242,164,-189,50,186,350,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,1422,1523,1819,2138,1963,2084,1996,2062,2073,2130,2115,2094,2217,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,1778,1805,1882,2009,1900,2019,2059,2194,2209,2267,2336,2497,2537,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,1281,-853,978,4249,3480,4585,3303,2012,1380,789,1178,1730,3072,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,34%,7%,52%,12%,30%,40%,26%,34%,37%,49%,39%,13%,28%,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,839,-915,474,3741,2428,2773,2450,1322,867,404,719,1501,2209,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.47,-3.51,2.03,15.16,9.67,11.29,9.88,5.31,3.46,1.80,2.93,6.15,8.93,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1255,1301,1332,1270,1335,1369,1378,1574,1933,1955,2151,2103,2261,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,962,990,1046,1052,1100,1091,1098,1262,1553,1558,1749,1715,1823,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,293,312,286,218,235,277,280,311,380,396,402,389,438,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,23%,24%,22%,17%,18%,20%,20%,20%,20%,20%,19%,18%,19%,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,11,27,10,20,9,42,20,196,14,25,6,11,19,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,47,50,52,53,54,57,62,114,134,138,133,117,111,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,107,115,133,132,136,142,152,169,184,201,208,214,220,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,149,174,111,53,54,121,86,224,77,82,67,69,126,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,25%,28%,47%,47%,19%,23%,7%,24%,19%,35%,28%,25%,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,113,132,80,29,29,97,66,208,58,67,43,49,94,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.71,1.99,1.22,0.43,0.44,1.47,1.00,3.14,0.85,0.97,0.65,0.73,1.39,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,JUBLFOOD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1008,1078,1091,1205,1064,1122,1152,1208,1096,1179,1156,1222,1103,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,855,948,958,1029,895,942,973,1036,927,1023,1003,1083,916,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,154,129,133,176,169,179,178,172,169,156,152,138,187,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,15%,12%,12%,15%,16%,16%,16%,14%,15%,13%,13%,11%,17%,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,8,4,7,6,9,8,11,15,5,10,4,-11,12,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,4,3,8,7,5,4,5,5,3,5,7,6,5,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,32,34,33,34,31,36,39,42,42,41,40,43,44,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,126,97,100,140,143,147,146,140,128,121,110,78,150,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,29%,26%,21%,24%,25%,26%,25%,28%,29%,28%,44%,26%,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,93,69,74,111,109,111,108,104,92,86,79,43,110,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,5.80,4.39,4.67,6.78,6.75,6.78,6.54,6.43,5.64,5.29,4.88,2.67,6.84,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,KAJARIACER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2051,1931,1827,1734,2157,1957,1919,1769,2133,1951,1922,1817,2162,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1796,1732,1631,1565,1825,1683,1675,1590,1803,1739,1687,1651,1859,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,255,199,195,168,332,273,244,179,330,212,235,166,303,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,12%,10%,11%,10%,15%,14%,13%,10%,15%,11%,12%,9%,14%,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,5,4,7,10,678,22,20,33,34,27,671,37,53,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,8,6,7,7,7,8,7,7,7,7,9,8,7,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,43,45,46,46,47,47,48,48,48,49,53,52,53,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,208,152,149,125,956,240,208,157,308,183,844,144,295,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,27%,27%,27%,23%,23%,27%,27%,27%,27%,34%,22%,29%,27%,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,152,111,109,96,734,175,152,114,225,120,662,102,216,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.93,1.40,1.36,1.16,9.13,2.19,1.91,1.44,2.86,1.52,8.42,1.34,2.73,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,KANSAINER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,3318,4064,4375,5525,4244,4499,5007,6165,4512,5113,5349,6872,5023,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,3150,3886,4175,5242,3999,4225,4699,5777,4242,4793,4975,6333,4673,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,168,178,200,283,244,274,308,388,270,320,374,539,350,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,5%,4%,5%,5%,6%,6%,6%,6%,6%,6%,7%,8%,7%,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,8,16,2,6,3,16,26,8,43,7,1,20,5,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,100,128,149,162,159,178,164,154,155,168,170,170,151,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,39,40,41,42,42,47,49,48,47,45,45,47,46,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,37,27,11,86,47,66,121,193,112,113,160,342,159,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,16%,-108%,-54%,16%,9%,15%,20%,21%,22%,25%,19%,22%,21%,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,31,55,18,72,42,56,97,152,88,85,130,268,125,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.21,2.15,0.68,2.81,1.65,2.17,3.77,5.90,3.41,3.21,4.87,10.08,4.68,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,KEC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1565,1608,1784,1953,1783,1945,2059,2330,2065,2280,2472,2915,2590,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1406,1448,1602,1751,1604,1743,1845,2075,1846,2059,2226,2614,2332,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,160,161,182,202,178,202,215,255,219,221,246,301,258,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,10%,10%,10%,10%,10%,10%,10%,11%,11%,10%,10%,10%,10%,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,4,5,14,7,8,9,14,4,13,17,9,37,40,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,9,8,8,10,9,8,11,17,14,13,14,14,14,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,14,14,14,14,15,16,15,16,16,16,19,19,20,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,140,144,174,184,163,188,202,227,203,208,221,305,263,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,26%,26%,25%,26%,26%,26%,26%,26%,26%,26%,26%,26%,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,104,107,129,138,121,140,151,168,150,155,165,227,196,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,11.52,11.85,14.26,15.31,13.46,15.54,16.70,18.67,16.65,17.15,17.25,23.71,20.49,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,KEI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue +,9164,9994,11011,11982,12869,13717,14495,15156,15837,16427,16633,16772,17248,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,3004,3375,3802,4230,4834,5536,5985,6212,6805,7139,7171,7160,7529,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,4879,9313,9345,10548,10303,10136,12484,14920,12263,13094,10595,13664,13121,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Profit,1281,-2694,-2136,-2796,-2269,-1955,-3975,-5976,-3231,-3806,-1133,-4051,-3402,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Margin %,14%,-27%,-19%,-23%,-18%,-14%,-27%,-39%,-20%,-23%,-7%,-24%,-20%,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,2405,7441,7360,8785,7855,7843,9588,12751,13042,10453,7313,10402,9456,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,3686,4747,5224,5989,5586,5888,5614,6775,9811,6647,6180,6351,6053,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,25%,24%,24%,26%,25%,25%,23%,25%,25%,25%,23%,27%,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,2755,3608,3995,4566,4150,4461,4265,5337,7448,5044,4701,4933,4472,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,13.88,18.17,20.12,22.99,20.88,22.45,21.46,26.85,37.47,25.37,23.64,24.81,22.49,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross NPA %,2.27%,2.09%,1.91%,1.76%,1.75%,1.69%,1.68%,1.38%,1.39%,1.48%,1.51%,1.45%,,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net NPA %,0.69%,0.60%,0.48%,0.41%,0.43%,0.39%,0.36%,0.36%,0.38%,0.45%,0.44%,0.36%,,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,686,745,917,1017,1098,1199,1257,1318,1365,1471,1478,1528,1539,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,553,607,747,835,884,959,998,1045,1077,1174,1172,1205,1244,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,133,138,170,182,214,240,259,272,288,297,306,323,295,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,19%,19%,19%,18%,19%,20%,21%,21%,21%,20%,21%,21%,19%,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,16,11,18,7,22,9,19,17,54,52,19,60,16,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,6,7,8,11,14,14,16,12,13,10,10,9,12,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,31,33,40,42,45,48,50,53,53,56,58,58,63,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,112,109,139,136,177,188,212,224,277,283,257,316,236,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,22%,23%,25%,18%,24%,25%,26%,26%,26%,28%,27%,23%,27%,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,88,84,104,112,134,141,157,166,204,204,187,245,172,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.12,3.05,3.67,4.07,4.89,5.14,5.67,6.00,7.45,7.43,6.82,8.93,6.27,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,KPITTECH.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,503,534,489,491,541,601,539,545,602,660,597,603,670,LALPATHLAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,385,390,376,375,395,424,398,401,432,458,443,434,478,LALPATHLAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,118,144,113,116,146,178,141,145,170,202,154,169,192,LALPATHLAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,23%,27%,23%,24%,27%,30%,26%,27%,28%,31%,26%,28%,29%,LALPATHLAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,8,9,10,14,14,18,18,18,21,22,25,26,28,LALPATHLAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,8,11,9,9,8,8,7,7,6,6,5,5,5,LALPATHLAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,36,39,38,38,35,36,36,37,35,35,36,36,35,LALPATHLAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,81,103,76,83,118,152,116,120,150,183,138,153,181,LALPATHLAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,28%,30%,30%,32%,29%,27%,29%,28%,28%,29%,29%,-1%,26%,LALPATHLAB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
